edge_id,source_node_id,relation_type,target_node_id,event_time,available_at,valid_from,valid_to,split,prediction_time_safe,source_news_id,source_url,evidence_text,confidence,extraction_method,review_status,attributes_json,dataset_version,graph_version,semantic_sample_id,event_type,event_type_detail,sentiment,impact_level,affected_scope,semantic_release_group,semantic_quality_tier,evidence_completeness_score,manual_review_priority,semantic_correctness_status,default_semantic_query_enabled,semantic_quality_release,validation_basis,allowed_use
edge:000b948e6b8686da9d31d3ed,news:850ed09425ad03fc4905252192aab845,CONTAINS_EVENT,event:c5d7fbe0858163b0b074,2022-07-27,2022-07-27,2022-07-27,,test,True,850ed09425ad03fc4905252192aab845,https://vietnambiz.vn/co-phieu-tam-diem-287-drc-2022727193328530.htm,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_ALIAS|BODY_TICKER|TARGET_CONTEXT; score=17; event=PROFIT_DECLINE; symbol=STB,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""event_type"": ""BUSINESS_RESULT"", ""event_type_detail"": ""PROFIT_DECLINE"", ""sample_id"": ""c5d7fbe0858163b0b074""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,c5d7fbe0858163b0b074,BUSINESS_RESULT,PROFIT_DECLINE,NEGATIVE,HIGH,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:001936c3838b7772d3fc17e7,event:b7724699a4573021287c,AFFECTS,stock:NVL,2022-01-01,2022-01-01,2022-01-01,,validation,True,dd0a878017f127a9279cfd26061fecd3,https://vietstock.vn/2022/01/nhung-co-phieu-anh-huong-nhieu-nhat-den-cac-chi-so-nam-2021-msn-nvl-dong-vai-tro-dau-keo-830-921742.htm,TITLE_TICKER|TARGET_CONTEXT,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""affected_scope"": ""MARKET"", ""impact_level"": ""MODERATE"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""b7724699a4573021287c""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,b7724699a4573021287c,MACRO_POLICY,MACRO_POLICY,NEUTRAL,MODERATE,MARKET,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:001afc36e543f27a7445aa98,event:719471b688fc69a7cac2,HAS_SENTIMENT,sentiment:POSITIVE,2022-07-05,2022-07-05,2022-07-05,,test,True,3729c7659979bda52d08891a91c62853,https://vietnambiz.vn/gan-44-trieu-co-phieu-nkg-va-395-trieu-co-phieu-frt-sap-do-bo-san-hose-20227585216356.htm,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=DIVIDEND; symbol=NKG,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""sample_id"": ""719471b688fc69a7cac2""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,719471b688fc69a7cac2,CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:00579baf14aee906e72cb3df,event:12f86e92a7c70016c930,AFFECTS,stock:PLX,2020-07-01,2020-07-01,2020-07-01,,train,True,8d19909019c2350c54e11d331a67033a,https://vietnambiz.vn/giao-dich-thoa-thuan-khung-fpt-gab-eib-plx-phien-1-7-20200701174033877.htm,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""affected_scope"": ""STOCK_SPECIFIC"", ""impact_level"": ""MODERATE"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""12f86e92a7c70016c930""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,12f86e92a7c70016c930,CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:00973cd17e174076bcaf2a84,event:5ae1d32a178395f63807,HAS_SENTIMENT,sentiment:NEUTRAL,2020-08-06,2020-08-06,2020-08-06,,train,True,1c90adfa5759bfd5e95061cc7bfb749f,https://cafef.vn/pomina-pom-lo-tiep-88-ty-dong-trong-quy-2-nang-tong-lo-6-thang-dau-nam-len-144-ty-dong-2020080615575795.chn,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|TITLE_ALIAS|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=24; event=MACRO_POLICY; symbol=POM,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""sample_id"": ""5ae1d32a178395f63807""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,5ae1d32a178395f63807,MACRO_POLICY,MACRO_POLICY,NEUTRAL,MODERATE,MARKET,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:009cf5c00f4e19059a44f65a,event:8037da5a29daf71b4cbb,HAS_SENTIMENT,sentiment:NEGATIVE,2021-01-29,2021-01-29,2021-01-29,,train,True,05ea228d26289ddc8fe8274852685573,https://cafef.vn/thep-pomina-pom-nam-2020-hoi-sinh-voi-lai-rong-16-ty-dong-ky-vong-lon-vao-du-an-lo-cao-20210129130457897.chn,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|TITLE_COMPANY|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=24; event=PROFIT_DECLINE; symbol=POM,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""sample_id"": ""8037da5a29daf71b4cbb""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,8037da5a29daf71b4cbb,BUSINESS_RESULT,PROFIT_DECLINE,NEGATIVE,HIGH,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:010123061ce7b14c62e400d9,event:061d77edae4c1f0dbb76,HAS_SENTIMENT,sentiment:NEUTRAL,2021-02-02,2021-02-02,2021-02-02,,train,True,6b41a58c70ea9846788f980d25ca8f24,https://vietnambiz.vn/co-phieu-tam-diem-ngay-3-2-vhm-bid-pc1-20210202193421006.htm,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT; score=13; event=LEADERSHIP_CHANGE; symbol=PC1,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""sample_id"": ""061d77edae4c1f0dbb76""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,061d77edae4c1f0dbb76,CORPORATE_ACTION,LEADERSHIP_CHANGE,NEUTRAL,MODERATE,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:011bab2dfde4507b1be22368,event:78606faeb57e55386061,HAS_SENTIMENT,sentiment:POSITIVE,2021-11-22,2021-11-22,2021-11-22,,train,True,85ee5fdbe549f496f22fc87241eb99d1,https://cafef.vn/gan-147-trieu-co-phieu-vix-sap-duoc-niem-yet-bo-sung-co-dong-lai-35-lan-ngay-khi-co-phieu-ve-tai-khoan-20211122095006642.chn,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT; score=17; event=DIVIDEND; symbol=VIX,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""sample_id"": ""78606faeb57e55386061""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,78606faeb57e55386061,CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:012058dcb928ea8c1fb4301a,event:73102bcfddcedd61af1b,AFFECTS,stock:KDH,2021-04-28,2021-04-28,2021-04-28,,train,True,2305f741197b147b71f798088a7ca9a7,https://cafef.vn/kdh-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2021-20210426110403834.chn,TITLE_TICKER|BODY_ALIAS|BODY_TICKER|TARGET_CONTEXT,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""affected_scope"": ""STOCK_SPECIFIC"", ""impact_level"": ""MODERATE"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""73102bcfddcedd61af1b""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,73102bcfddcedd61af1b,CORPORATE_ACTION,DIVIDEND,POSITIVE,MODERATE,STOCK_SPECIFIC,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,HIGH,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
edge:015bf76120730c5e366f8280,news:bd9f3c421a87b996e6f8d7932f88e9c0,CONTAINS_EVENT,event:d8e6b9c6c2d22a58dbe1,2020-07-07,2020-07-07,2020-07-07,,train,True,bd9f3c421a87b996e6f8d7932f88e9c0,https://cafef.vn/vndirect-kinh-te-viet-nam-hoi-phuc-vung-chac-vn-index-dao-dong-tu-840-den-920-diem-trong-nua-cuoi-nam-20200707095644294.chn,WEAK_RULE_V3; tier=HIGH_PRECISION; entity=TITLE_ALIAS|BODY_ALIAS|BODY_TICKER; score=13; event=MACRO_POLICY; symbol=VND,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""event_type"": ""MACRO_POLICY"", ""event_type_detail"": ""MACRO_POLICY"", ""sample_id"": ""d8e6b9c6c2d22a58dbe1""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,d8e6b9c6c2d22a58dbe1,MACRO_POLICY,MACRO_POLICY,NEUTRAL,MODERATE,MARKET,INFORMATIVE_CANDIDATE,EXPERIMENTAL_INFORMATIVE_UNVALIDATED,100,CRITICAL,NOT_INDEPENDENTLY_VALIDATED,True,FINNEXUS_SEMANTIC_QUALITY_V4_0,Entity link pipeline passed precision gate; exact semantic labels remain unvalidated.,EXPLORATORY_QUERY_AND_ABLATION_ONLY
