edge_id,source_node_id,relation_type,target_node_id,event_time,available_at,valid_from,valid_to,split,prediction_time_safe,source_news_id,source_url,evidence_text,confidence,extraction_method,review_status,attributes_json,dataset_version,graph_version,kg_layer,quality_tier,validation_basis,allowed_use,layered_release_version
edge:00065acc2c1fe315666ce71d,news:ad0fef41d4a67d7588d1b2226c6506d6,PUBLISHED_BY,source:916a66d113b8164a,2020-01-07,2020-01-07,2020-01-07,,train,True,ad0fef41d4a67d7588d1b2226c6506d6,https://vietnambiz.vn/co-phieu-tam-diem-ngay-8-1-mpc-gas-pvs-20200107210919133.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:001bc2ea03f93573d6c9ae09,news:a16e3198d04213122cce7b859c040454,PUBLISHED_BY,source:d3688b7c417bb1a2,2020-03-06,2020-03-06,2020-03-06,,train,True,a16e3198d04213122cce7b859c040454,https://cafef.vn/vnm-bcg-cmx-hid-apg-tvs-ksh-tcd-gdt-s4a-ams-d11-icg-thong-tin-giao-dich-luong-lon-co-phieu-20200305175542394.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:0031a5add2f8b841cb978565,news:2eeca68c4af1574666aecbd5020f6ffe,MENTIONS,stock:VHM,2021-08-13,2021-08-13,2021-08-13,,train,True,2eeca68c4af1574666aecbd5020f6ffe,https://vietnambiz.vn/phien-13-8-khoi-ngoai-tap-trung-chot-loi-co-phieu-ssi-vhm-trong-nhip-rung-lac-cua-thi-truong-20210813164633036.htm,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""5"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""316f607e3f18e3e49002""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:0033f6df6efe271a55a94265,stock:PLX,REPRESENTS,company:84a64b938a46bd36,,,,,,True,,,,MEDIUM,STOCK_REFERENCE_MASTER,REFERENCE_DATA,"{""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,REFERENCE_WITH_STATIC_VALIDITY_ASSUMPTION,"Local stock reference; historical effective dates are not available, so 2019-2022 validity is an explicit assumption.",QUERY_AND_REFERENCE_JOIN,FINNEXUS_LAYERED_KG_V3_0
edge:0037c6cffb2c8d0c87e54bd6,news:5b406d7b41f56506a71a65b6068b11ac,MENTIONS,stock:FPT,2019-11-25,2019-11-25,2019-11-25,,train,True,5b406d7b41f56506a71a65b6068b11ac,https://cafef.vn/chu-quan-chuoi-nha-thuoc-long-chau-dat-236-ty-dong-loi-nhuan-rong-sau-10-thang-20191125141248065.chn,TITLE_TICKER|BODY_TICKER|TARGET_CONTEXT,HIGH,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""8"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""785311eb5cbcab7fab03""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
edge:0048f2cde63206871fff2ff4,news:c985cd9b27ec993e30586340fd8f6453,PUBLISHED_AT,time:2021-09-23,2021-09-23,2021-09-23,2021-09-23,,train,True,c985cd9b27ec993e30586340fd8f6453,https://cafef.vn/pv-gas-bat-tay-voi-tap-doan-nang-luong-my-dau-tu-kho-cang-lng-son-my-von-dau-tu-len-den-131-ty-usd-20210923092802846.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:006074dfe23d20f5dc272630,news:9d8769c2b04e6edc0806325e6271cad5,PUBLISHED_BY,source:d3688b7c417bb1a2,2020-02-05,2020-02-05,2020-02-05,,train,True,9d8769c2b04e6edc0806325e6271cad5,https://cafef.vn/nam-2019-dam-phu-my-dpm-lai-hon-370-ty-dong-giam-gan-mot-nua-so-voi-cung-ky-20200204162534324.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:00722c3e15350144908ecdaa,news:d7ff23a302cb0ac73c0950fb4818a823,PUBLISHED_AT,time:2022-04-03,2022-04-03,2022-04-03,2022-04-03,,validation,True,d7ff23a302cb0ac73c0950fb4818a823,https://vietnambiz.vn/to-chuc-trong-nuoc-mua-rong-hon-1200-ty-dong-cp-ngan-hang-trong-thang-3-dgc-va-mwg-lot-top-ban-rong-202243202756402.htm,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:0084d5f5e556db89b28de5d7,news:d82f8aa7d640bb66aba91cc524a4f079,PUBLISHED_BY,source:d3688b7c417bb1a2,2022-04-02,2022-04-02,2022-04-02,,validation,True,d82f8aa7d640bb66aba91cc524a4f079,https://cafef.vn/hpg-pnj-ttf-yeg-bkg-hig-mhl-scl-rcc-vaf-tv3-sdd-thong-tin-giao-dich-luong-lon-co-phieu-20220401212448101.chn,,HIGH,DATASET_METADATA,SOURCE_TRACEABLE,{},FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,SOURCE_TRACEABLE,Article source/date metadata retained with news provenance.,QUERY_AND_MODEL_METADATA,FINNEXUS_LAYERED_KG_V3_0
edge:008564829eea9e4d73a5a77c,news:3ad09da6a4635aff9b6425b109cc2259,MENTIONS,stock:IMP,2022-07-27,2022-07-27,2022-07-27,,test,True,3ad09da6a4635aff9b6425b109cc2259,https://vietnambiz.vn/giao-dich-lon-co-phieu-imp-gkm-sje-tkc-tig-qnu-sip-vds-pnj-dhc-hcd-20227271895567.htm,TITLE_TICKER|BODY_COMPANY|BODY_TICKER|TARGET_CONTEXT,MEDIUM,WEAK_RULE_V3_ENTITY_TIERED,AUTO_EXTRACTED_UNREVIEWED,"{""entity_confidence"": ""HIGH"", ""mention_count"": ""4"", ""relation_directness"": ""TITLE_TICKER_WITH_TARGET_CONTEXT"", ""sample_id"": ""5f061330d7249dee7dcf""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,VALIDATED_HIGH_PRECISION_PIPELINE,"Entity pipeline HIGH_PRECISION stratum: precision 0.9189; Wilson 95% lower bound 0.8705. This is pipeline-level, not row-level human validation.",QUERY_ENTITY_LINK_AND_EXPLORATORY_MODELING,FINNEXUS_LAYERED_KG_V3_0
