node_id,node_type,name,symbol,valid_from,valid_to,source_news_id,split,prediction_time_safe,attributes_json,dataset_version,graph_version,kg_layer,layered_release_version
company:01d797188a8604d0,Company,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,,,,,,True,"{""reference_symbol"": ""FRT""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:033a72c89cd5623e,Company,Ngân hàng TMCP Quân Đội,,,,,,True,"{""reference_symbol"": ""MBB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:039db3cec800bdac,Company,Công ty Cổ phần Nam Việt,,,,,,True,"{""reference_symbol"": ""ANV""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:04877da84144ccd2,Company,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,,,,,,True,"{""reference_symbol"": ""PVS""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:0efde313f93b008a,Company,Công ty Cổ phần Tập đoàn GELEX,,,,,,True,"{""reference_symbol"": ""GEX""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:1f3483b61a2d9d6d,Company,Tổng Công ty Hàng không Việt Nam,,,,,,True,"{""reference_symbol"": ""HVN""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:2a7ee601a0158263,Company,Ngân hàng TMCP Á Châu,,,,,,True,"{""reference_symbol"": ""ACB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:2c4944dfa87a1b6e,Company,Công ty Cổ phần Phân bón Dầu khí Cà Mau,,,,,,True,"{""reference_symbol"": ""DCM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:300ad99272ef2f90,Company,Công ty Cổ phần Đầu tư Thế Giới Di Động,,,,,,True,"{""reference_symbol"": ""MWG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:321841bdf3010a9f,Company,Công ty Cổ phần Sữa Việt Nam,,,,,,True,"{""reference_symbol"": ""VNM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:37cc9a8eb8ff22fb,Company,Ngân hàng TMCP Kỹ Thương Việt Nam,,,,,,True,"{""reference_symbol"": ""TCB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:3b7e1a9db9a0df21,Company,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,,,,,,True,"{""reference_symbol"": ""NVL""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:3bc2c86106abb132,Company,Công ty Cổ phần Gemadept,,,,,,True,"{""reference_symbol"": ""GMD""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:407cc27d65a96a8b,Company,Tổng Công ty Cổ phần Công trình Viettel,,,,,,True,"{""reference_symbol"": ""CTR""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:4390e381525db395,Company,Công ty Cổ phần Thế Giới Số,,,,,,True,"{""reference_symbol"": ""DGW""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:45724ef84a19e5da,Company,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,,,,,,True,"{""reference_symbol"": ""BID""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:4635abf4e03bf9dd,Company,Công ty Cổ phần Vinhomes,,,,,,True,"{""reference_symbol"": ""VHM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:468d9b74ece8cc9f,Company,Ngân hàng TMCP Sài Gòn Thương Tín,,,,,,True,"{""reference_symbol"": ""STB""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:4a780096e0582f41,Company,Công ty Cổ phần Tập đoàn Hoa Sen,,,,,,True,"{""reference_symbol"": ""HSG""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
company:4da1ca26f3e3f1c2,Company,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,,,,,,True,"{""reference_symbol"": ""HCM""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,CORE,FINNEXUS_LAYERED_KG_V3_0
