edge_id,source_node_id,relation_type,target_node_id,event_time,available_at,valid_from,valid_to,split,prediction_time_safe,source_news_id,source_url,evidence_text,confidence,extraction_method,review_status,attributes_json,dataset_version,graph_version,kg_layer,quality_tier,validation_basis,allowed_use,layered_release_version
edge:00612ed15b6183e4143c2aad,stock:SSI,RELATED_TO,stock:VIX,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Chứng khoán"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:024e472c7deaca95c8c02365,stock:BID,RELATED_TO,stock:STB,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Ngân hàng"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:0536c60b017ddfaa3f7b8794,stock:ACB,RELATED_TO,stock:TCB,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Ngân hàng"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:0cf1e3486468ffeca27765d4,stock:PLX,RELATED_TO,stock:PVD,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Dầu khí"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:10b0dfa65181f526913dd8a5,stock:VCB,RELATED_TO,stock:VPB,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Ngân hàng"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:114825919524f8c3f0ad69a1,stock:VIX,RELATED_TO,stock:VND,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Chứng khoán"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:12d91c3a39874833228b4631,stock:MBB,RELATED_TO,stock:VCB,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Ngân hàng"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:1520facc85c633c6f692c40f,stock:KDH,RELATED_TO,stock:VRE,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Bất động sản"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:198360f4f7efa5b11faf3a9c,stock:PVD,RELATED_TO,stock:PVS,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Dầu khí"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
edge:1a245c27ea817fd47e4efaf2,stock:NVL,RELATED_TO,stock:VHM,,,,,,True,,,,MEDIUM,DERIVED_SAME_INDUSTRY,DERIVED_REFERENCE_RELATION,"{""basis"": ""SAME_INDUSTRY"", ""industry"": ""Bất động sản"", ""symmetric"": true, ""temporal_assumption"": ""REFERENCE_SNAPSHOT_ASSUMED_VALID_2019_2022""}",FINNEXUS_RESEARCH_DATASET_V17_1,FINNEXUS_TEMPORAL_KG_V1_0,DERIVED,DERIVED_REFERENCE_NOT_INDEPENDENTLY_VALIDATED,Derived from same-industry reference mapping.,EXPLORATORY_QUERY_ONLY,FINNEXUS_LAYERED_KG_V3_0
